customer_id,tenure_months,total_spent,avg_purchase_frequency,avg_order_value,days_since_last_purchase,percentage_returns,complaint_count,loyalty_program_member,page_views_last_30d,cart_abandon_rate,discount_used_last_6m,churn_prediction
100002,31,206.59,0.64,46.73,143,0.077,0,0,15,0.42,1,1.0
100004,21,242.52,3.43,61.7,124,0.098,0,1,18,0.49,2,1.0
100005,41,280.64,4.3,49.7,59,0.054,0,0,24,0.26,1,1.0
100006,5,867.38,3.02,14.81,171,0.07,0,0,25,0.37,3,1.0
100007,33,1081.01,2.13,55.71,123,0.065,0,0,21,0.38,0,1.0
100008,10,265.69,1.61,21.02,116,0.045,0,1,27,0.53,5,1.0
100009,5,426.35,2.51,84.18,154,0.023,1,0,24,0.04,0,1.0
100010,25,568.31,2.2,97.92,158,0.161,0,0,24,0.23,2,1.0
100013,36,450.94,4.29,41.87,137,0.072,0,1,17,0.34,0,1.0
100015,37,586.95,1.58,79.36,55,0.0,0,1,19,0.41,0,1.0
100018,40,225.02,2.94,47.94,81,0.0,0,0,21,0.35,5,1.0
